,id,full_name,first_name,last_name,is_active
1575,76807,Dick Gibbs,Dick,Gibbs,False
1576,200789,Daniel Gibson,Daniel,Gibson,False
1577,76808,Dee Gibson,Dee,Gibson,False
1578,1626780,Jonathan Gibson,Jonathan,Gibson,False
1579,76809,Mel Gibson,Mel,Gibson,False
1580,76810,Mike Gibson,Mike,Gibson,False
1581,201959,Taj Gibson,Taj,Gibson,False
1582,76811,Ward Gibson,Ward,Gibson,False
1583,201592,J.R. Giddens,J.R.,Giddens,False
1584,1630581,Josh Giddey,Josh,Giddey,True
1585,201821,Trey Gilder,Trey,Gilder,False
1586,1628385,Harry Giles III,Harry,Giles III,False
1587,1628983,Shai Gilgeous-Alexander,Shai,Gilgeous-Alexander,True
1588,1630264,Anthony Gill,Anthony,Gill,True
1589,2109,Eddie Gill,Eddie,Gill,False
1590,383,Kendall Gill,Kendall,Gill,False
1591,76812,Ben Gillery,Ben,Gillery,False
1592,1631221,Collin Gillespie,Collin,Gillespie,True
1593,1630273,Freddie Gillespie,Freddie,Gillespie,False
1594,76813,Gene Gillette,Gene,Gillette,False
1595,288,Armen Gilliam,Armen,Gilliam,False
1596,76815,Herm Gilliam,Herm,Gilliam,False
1597,600014,Artis Gilmore,Artis,Gilmore,False
1598,76817,Walt Gilmore,Walt,Gilmore,False
1599,76818,Chuck Gilmur,Chuck,Gilmur,False
1600,1631367,Jacob Gilyard,Jacob,Gilyard,False
1601,1938,Manu Ginobili,Manu,Ginobili,False
1602,1921,Gordan Giricek,Gordan,Giricek,False
1603,76819,Jack Givens,Jack,Givens,False
1604,202148,Mickell Gladness,Mickell,Gladness,False
1605,76820,George Glamack,George,Glamack,False
1606,76821,Gerald Glass,Gerald,Glass,False
1607,76822,Mike Glenn,Mike,Glenn,False
1608,76823,Norman Glick,Norman,Glick,False
1609,76824,Georgi Glouchkov,Georgi,Glouchkov,False
1610,76825,Clarence Glover,Clarence,Glover,False
1611,1901,Dion Glover,Dion,Glover,False
1612,2601,Andreas Glyniadakis,Andreas,Glyniadakis,False
1613,76826,Mike Gminski,Mike,Gminski,False
1614,203497,Rudy Gobert,Rudy,Gobert,True
1615,76827,Dan Godfread,Dan,Godfread,False
1616,76828,Tom Gola,Tom,Gola,False
1617,76829,Ben Goldfaden,Ben,Goldfaden,False
1618,1642884,Vladislav Goldin,Vladislav,Goldin,True
1619,924,Anthony Goldwire,Anthony,Goldwire,False
1620,101155,Ryan Gomes,Ryan,Gomes,False
1621,76830,Glen Gondrezick,Glen,Gondrezick,False
1622,76831,Grant Gondrezick,Grant,Gondrezick,False
1623,1642864,Hugo González,Hugo,González,True
1624,2400,Drew Gooden,Drew,Gooden,False
1625,76832,Gail Goodrich,Gail,Goodrich,False
1626,1864,Steve Goodrich,Steve,Goodrich,False
1627,203462,Archie Goodwin,Archie,Goodwin,False
1628,1629164,Brandon Goodwin,Brandon,Goodwin,False
1629,1630692,Jordan Goodwin,Jordan,Goodwin,True
1630,76833,Wilfred Goodwin,Wilfred,Goodwin,False
1631,203932,Aaron Gordon,Aaron,Gordon,True
1632,2732,Ben Gordon,Ben,Gordon,False
1633,204079,Drew Gordon,Drew,Gordon,False
1634,201569,Eric Gordon,Eric,Gordon,True
1635,76834,Lancaster Gordon,Lancaster,Gordon,False
1636,76835,Paul Gordon,Paul,Gordon,False
1637,101162,Marcin Gortat,Marcin,Gortat,False
1638,1641789,Jazian Gortman,Jazian,Gortman,False
1639,76836,Leo Gottlieb,Leo,Gottlieb,False
1640,202726,Andrew Goudelock,Andrew,Goudelock,False
1641,76837,Bato Govedarica,Bato,Govedarica,False
1642,76838,Joe Graboski,Joe,Graboski,False
1643,76839,Ricky Grace,Ricky,Grace,False
1644,1628984,Devonte' Graham,Devonte',Graham,False
1645,37,Greg Graham,Greg,Graham,False
1646,101121,Joey Graham,Joey,Graham,False
1647,76843,Mal Graham,Mal,Graham,False
1648,76841,Orlando Graham,Orlando,Graham,False
1649,76842,Paul Graham,Paul,Graham,False
1650,101211,Stephen Graham,Stephen,Graham,False
1651,1626203,Treveon Graham,Treveon,Graham,False
1652,76844,Jim Grandholm,Jim,Grandholm,False
1653,97,Ronnie Grandison,Ronnie,Grandison,False
1654,101122,Danny Granger,Danny,Granger,False
1655,76847,Stewart Granger,Stewart,Granger,False
1656,258,Brian Grant,Brian,Grant,False
1657,76850,Bud Grant,Bud,Grant,False
1658,202,Gary Grant,Gary,Grant,False
1659,285,Greg Grant,Greg,Grant,False
1660,265,Harvey Grant,Harvey,Grant,False
1661,270,Horace Grant,Horace,Grant,False
1662,203924,Jerami Grant,Jerami,Grant,True
1663,1626170,Jerian Grant,Jerian,Grant,False
1664,76852,Josh Grant,Josh,Grant,False
1665,1514,Paul Grant,Paul,Grant,False
1666,76853,Travis Grant,Travis,Grant,False
1667,1629055,Donte Grantham,Donte,Grantham,False
1668,76854,Don Grate,Don,Grate,False
1669,76855,Butch Graves,Butch,Graves,False
1670,1629755,Hassani Gravett,Hassani,Gravett,False
1671,201189,Aaron Gray,Aaron,Gray,False
1672,1070,Devin Gray,Devin,Gray,False
1673,1516,Ed Gray,Ed,Gray,False
1674,1026,Evric Gray,Evric,Gray,False
1675,76859,Gary Gray,Gary,Gray,False
1676,1627982,Josh Gray,Josh,Gray,False
1677,76860,Leonard Gray,Leonard,Gray,False
1678,1630564,RaiQuan Gray,RaiQuan,Gray,False
1679,76861,Stuart Gray,Stuart,Gray,False
1680,76862,Sylvester Gray,Sylvester,Gray,False
1681,76863,Wyndol Gray,Wyndol,Gray,False
1682,81,Jeff Grayer,Jeff,Grayer,False
1683,76865,Bob Greacen,Bob,Greacen,False
1684,920,A.C. Green,A.C.,Green,False
1685,1631260,AJ Green,AJ,Green,True
1686,201980,Danny Green,Danny,Green,False
1687,101209,Devin Green,Devin,Green,False
1688,203110,Draymond Green,Draymond,Green,True
1689,203475,Erick Green,Erick,Green,False
1690,101123,Gerald Green,Gerald,Green,False
1691,203210,JaMychal Green,JaMychal,Green,False
1692,1630224,Jalen Green,Jalen,Green,True
1693,1629750,Javonte Green,Javonte,Green,True
1694,201145,Jeff Green,Jeff,Green,True
1695,76867,Johnny Green,Johnny,Green,False
1696,1630182,Josh Green,Josh,Green,True
1697,76868,Ken Green,Ken,Green,False
1698,76869,Kenny Green,Kenny,Green,False
1699,600011,Lamar Green,Lamar,Green,False
1700,1036,Litterial Green,Litterial,Green,False
1701,76872,Luther Green,Luther,Green,False
1702,76873,Mike Green,Mike,Green,False
1703,76874,Rickey Green,Rickey,Green,False
1704,76875,Sean Green,Sean,Green,False
1705,76877,Si Green,Si,Green,False
1706,76876,Sidney Green,Sidney,Green,False
1707,76878,Steve Green,Steve,Green,False
1708,201192,Taurean Green,Taurean,Green,False
1709,76879,Tommy Green,Tommy,Green,False
1710,2584,Willie Green,Willie,Green,False
1711,201590,Donte Greene,Donte,Greene,False
1712,101158,Orien Greene,Orien,Greene,False
1713,76880,Jerry Greenspan,Jerry,Greenspan,False
1714,76881,David Greenwood,David,Greenwood,False
1715,76882,Hal Greer,Hal,Greer,False
1716,2696,Lynn Greer,Lynn,Greer,False
1717,76883,Gary Gregor,Gary,Gregor,False
1718,76884,Claude Gregory,Claude,Gregory,False
1719,76885,John Greig,John,Greig,False
1720,76886,Norm Grekin,Norm,Grekin,False
1721,76887,Kevin Grevey,Kevin,Grevey,False
1722,1631100,AJ Griffin,AJ,Griffin,False
1723,1559,Adrian Griffin,Adrian,Griffin,False
1724,201933,Blake Griffin,Blake,Griffin,False
1725,2204,Eddie Griffin,Eddie,Griffin,False
1726,76888,Greg Griffin,Greg,Griffin,False
1727,76889,Paul Griffin,Paul,Griffin,False
1728,201981,Taylor Griffin,Taylor,Griffin,False
1729,76890,Darrell Griffith,Darrell,Griffith,False
1730,76891,Chuck Grigsby,Chuck,Grigsby,False
1731,1629656,Quentin Grimes,Quentin,Grimes,True
1732,1575,Derek Grimm,Derek,Grimm,False
1733,76893,George Grimshaw,George,Grimshaw,False
1734,76894,Dick Groat,Dick,Groat,False
1735,76895,Bob Gross,Bob,Gross,False
1736,76896,Jerry Grote,Jerry,Grote,False
1737,76897,Alex Groza,Alex,Groza,False
1738,101219,Anthony Grundy,Anthony,Grundy,False
1739,76899,Ernie Grunfeld,Ernie,Grunfeld,False
1740,76900,Gene Guarilia,Gene,Guarilia,False
1741,76901,Petur Gudmundsson,Petur,Gudmundsson,False
1742,1629741,Marko Guduric,Marko,Guduric,False
1743,76902,Richie Guerin,Richie,Guerin,False
1744,1631338,Mouhamadou Gueye,Mouhamadou,Gueye,False
1745,1631243,Mouhamed Gueye,Mouhamed,Gueye,True
1746,339,Tom Gugliotta,Tom,Gugliotta,False
1747,76903,Andres Guibert,Andres,Guibert,False
1748,76904,Jay Guidinger,Jay,Guidinger,False
1749,76905,Coulby Gunther,Coulby,Gunther,False
1750,76906,Dave Gunther,Dave,Gunther,False
1751,76907,Al Guokas,Al,Guokas,False
1752,76908,Matt Guokas,Matt,Guokas,False
1753,76909,Matt Guokas,Matt,Guokas,False
1754,203268,Jorge Gutierrez,Jorge,Gutierrez,False
1755,1629657,Kyle Guy,Kyle,Guy,False
1756,2062,A.J. Guyton,A.J.,Guyton,False
1757,2775,Ha Seung-jin,Seung-jin,Ha,False
1758,1629060,Rui Hachimura,Rui,Hachimura,True
1759,76910,Rudy Hackett,Rudy,Hackett,False
1760,201632,Hamed Haddadi,Hamed,Haddadi,False
1761,76911,Scott Haffner,Scott,Haffner,False
1762,76912,Cliff Hagan,Cliff,Hagan,False
1763,76913,Glenn Hagan,Glenn,Hagan,False
1764,1630204,Ashton Hagans,Ashton,Hagans,False
1765,76914,Bob Hahn,Bob,Hahn,False
1766,76915,Al Hairston,Al,Hairston,False
1767,76916,Happy Hairston,Happy,Hairston,False
1768,76917,Lindsay Hairston,Lindsay,Hairston,False
1769,201612,Malik Hairston,Malik,Hairston,False
1770,203798,PJ Hairston,PJ,Hairston,False
1771,2409,Marcus Haislip,Marcus,Haislip,False
1772,76918,Chuck Halbert,Chuck,Halbert,False
1773,76919,Harvey Halbrook,Harvey,Halbrook,False
1774,76920,Bruce Hale,Bruce,Hale,False
1775,917,Jack Haley,Jack,Haley,False
1776,1630169,Tyrese Haliburton,Tyrese,Haliburton,True
1777,76922,Shaler Halimon,Shaler,Halimon,False
